"City with max Length","Country name","Number of  cities"
"San Juan del Sur",Nicaragua,13
"Port Harcourt",Nigeria,87
"Vestra Mosterhamn",Norway,905
"Al Sohar",Oman,7
"Dera Ghazi Khan",Pakistan,70
"Al Mawasi",Palestine,8
"Finca Blanco Numero Uno",Panama,73
"Port Moresby","Papua New Guinea",27
"Colonia Mariano Roque Alonso",Paraguay,27
"Hacienda La Palma",Peru,85
"Don Bosco Executive Village",Philippines,401
"Miedzybrodzie Zywieckie",Poland,1641
"Aguiar da Beira Municipality",Portugal,701
"Residencial Puerto Real","Puerto Rico",87
Kwanghui-dong,"Republic of Korea",93
"Vilniaus Apskritis","Republic of Lithuania",23
"Anenii Noi","Republic of Moldova",19
"Campulung Moldovenesc",Romania,355
Petropavlovsk-Kamchatsky,Russia,1036
"Anse La Raye","Saint Lucia",6
Fiorentino,"San Marino",5
"Madinat Yanbu` as Sina`iyah","Saudi Arabia",39
"Madina Kokoun",Senegal,12
"Banatsko Novo Selo",Serbia,93
"Bukit Panjang New Town",Singapore,34
"Druzstevna pri Hornade",Slovakia,230
"Lovrenc na Dravskem Polju",Slovenia,152
Emnambithi-Ladysmith,"South Africa",328
"Sant Pere, Santa Caterina i La Ribera",Spain,2454
"Sri Jayewardenepura Kotte","Sri Lanka",37
"Umm Durman",Sudan,6
"Nieuw Amsterdam",Suriname,9
"Piggs Peak",Swaziland,5
Enskede-Arsta-Vantoer,Sweden,1223
"Hausen am Albis / Hausen (Dorf)",Switzerland,1324
"Kaohsiung City",Taiwan,66
"Dar es Salaam",Tanzania,10
"Ban Pratunam Tha Khai",Thailand,166
"Ward of Tacarigua","Trinidad and Tobago",49
"Sidi Bouzid",Tunisia,12
"Magnesia ad Sipylum",Turkey,277
"Charlotte Amalie","U.S. Virgin Islands",5
Alekseyevo-Druzhkovka,Ukraine,230
"Ras al-Khaimah","United Arab Emirates",10
"London Borough of Wandsworth","United Kingdom",3041
"Fort Sill Indian School Reservation (historical)","United States",20936
"Colonia del Sacramento",Uruguay,16
"Puerto Ordaz and San Felix",Venezuela,90
"Thanh Pho Thai Nguyen",Vietnam,112
Livingstone,Zambia,9
"Victoria Falls",Zimbabwe,9
